NEWID,DIRACC,DIRACC_,AGE_REF,AGE_REF_,AGE2,AGE2_,AS_COMP1,AS_C_MP1,AS_COMP2,AS_C_MP2,AS_COMP3,AS_C_MP3,AS_COMP4,AS_C_MP4,AS_COMP5,AS_C_MP5,BATHRMQ,BATHRMQ_,BEDROOMQ,BEDR_OMQ,BLS_URBN,BUILDING,BUIL_ING,CUTENURE,CUTE_URE,EARNCOMP,EARN_OMP,EDUC_REF,EDUC0REF,EDUCA2,EDUCA2_,FAM_SIZE,FAM__IZE,FAM_TYPE,FAM__YPE,FGOVRETX,FGOV_ETX,FINCBTAX,FINCBT_X,FINDRETX,FIND_ETX,FINLWT21,FJSSDEDX,FJSS_EDX,FPRIPENX,FPRI_ENX,FRRDEDX,FRRDEDX_,FRRETIRX,FRRE_IRX,FSALARYX,FSAL_RYX,FSSIX,FSSIX_,HLFBATHQ,HLFB_THQ,INC_HRS1,INC__RS1,INC_HRS2,INC__RS2,INC_RANK,INC__ANK,INCNONW1,INCN_NW1,INCNONW2,INCN_NW2,INCOMEY1,INCO_EY1,INCOMEY2,INCO_EY2,INCWEEK1,INCW_EK1,INCWEEK2,INCW_EK2,MISCTAXX,MISC_AXX,LUMPSUMX,LUMP_UMX,MARITAL1,MARI_AL1,NO_EARNR,NO_E_RNR,NONINCMX,NONI_CMX,NUM_AUTO,NUM__UTO,OCCUCOD1,OCCU_OD1,OCCUCOD2,OCCU_OD2,OTHRINCX,OTHR_NCX,PERSLT18,PERS_T18,PERSOT64,PERS_T64,POPSIZE,PRINEARN,PRIN_ARN,QINTRVMO,QINTRVYR,RACE2,RACE2_,REF_RACE,REF__ACE,REGION,RENTEQVX,RENT_QVX,ROOMSQ,ROOMSQ_,SEX_REF,SEX_REF_,SEX2,SEX2_,SMSASTAT,ST_HOUS,ST_HOUS_,VEHQ,VEHQ_,WELFAREX,WELF_REX,WTREP01,WTREP02,WTREP03,WTREP04,WTREP05,WTREP06,WTREP07,WTREP08,WTREP09,WTREP10,WTREP11,WTREP12,WTREP13,WTREP14,WTREP15,WTREP16,WTREP17,WTREP18,WTREP19,WTREP20,WTREP21,WTREP22,WTREP23,WTREP24,WTREP25,WTREP26,WTREP27,WTREP28
05011064,1,D,87,T,NA,A,1,D,2,D,0,D,0,D,0,D,2,D,3,D,1,01,D,1,D,7,D,12,D,NA,A,3,D,9,D,0,D,1979,D,0,D,28144.942,0,D,0,D,0,D,1979,D,0,D,0,D,0,D,NA,A,NA,A,0.0884991,A,1,D,NA,A,NA,A,NA,A,0,D,NA,A,NA,A,NA,A,2,D,1,D,0,D,1,D,NA,A,NA,A,NA,A,0,D,1,D,2,01,D,01,2023,NA,A,1,D,3,1730,D,6,D,2,D,NA,A,1,2,D,2,D,NA,A,NA,58338.103,NA,NA,NA,62931.091,53509.769,55163.816,62288.891,52579.516,NA,51834.759,54619.906,55605.447,NA,NA,54175.19,NA,55467.231,NA,NA,72915.204,47490.177,NA,53876.737,58445.977,NA,57496.499
05011134,1,D,73,D,75,D,1,D,1,D,0,D,0,D,0,D,1,D,3,D,1,01,D,2,D,8,D,13,D,16,D,2,D,1,D,0,D,48970,D,0,D,21839.508,0,D,0,D,0,D,43690,D,0,D,0,D,1,D,NA,A,NA,A,0.441462,D,1,D,1,D,NA,A,NA,A,0,D,0,D,NA,A,NA,A,1,D,0,D,0,D,1,D,NA,A,NA,A,NA,A,0,D,2,D,1,01,D,01,2023,2,D,2,D,1,2500,D,8,D,2,D,1,D,1,2,D,1,D,NA,A,NA,NA,44789.943,76941.139,NA,29400.131,53077.583,NA,29019.043,NA,38241.435,53503.996,NA,NA,NA,46688.612,NA,NA,NA,NA,NA,36318.983,41268.073,52489.969,NA,33028.457,NA,NA
05011244,1,D,47,D,44,D,1,D,1,D,0,D,0,D,0,D,2,D,3,D,1,01,D,1,D,2,D,15,D,13,D,2,D,1,D,6459,D,172600,D,8837,D,31884.361,13203,D,0,D,0,D,0,D,172600,D,0,D,0,D,40,D,50,D,0.8765286,D,NA,A,NA,A,3,D,1,D,52,D,52,D,NA,A,NA,A,1,D,2,D,0,D,0,D,01,D,11,D,NA,A,0,D,0,D,3,01,D,01,2023,1,D,1,D,2,2000,D,5,D,2,D,1,D,1,2,D,2,D,NA,A,NA,NA,67977.378,61273.052,61004.372,NA,NA,61896.975,NA,61193.062,NA,NA,58747.046,64097.515,NA,67476.372,73101.143,NA,62613.138,NA,61058.017,61292.842,NA,NA,NA,56229.378,NA,NA
05011314,1,D,82,D,NA,A,0,D,1,D,0,D,0,D,0,D,1,D,2,D,1,01,D,2,D,8,D,12,D,NA,A,1,D,8,D,0,D,7332,D,0,D,27060.225,0,D,0,D,0,D,7332,D,0,D,0,D,0,D,NA,A,NA,A,0.1277914,D,1,D,NA,A,NA,A,NA,A,0,D,NA,A,NA,A,NA,A,2,D,0,D,0,D,0,D,NA,A,NA,A,NA,A,0,D,1,D,3,01,D,01,2023,NA,A,1,D,2,1200,D,5,D,2,D,NA,A,1,2,D,2,D,NA,A,NA,63882.889,59610.673,71365.549,56056.322,NA,64777.298,77334.552,58203.38,NA,NA,51926.769,NA,61438.815,NA,NA,74025.729,56876.963,NA,74306.64,53697.357,NA,57029.067,NA,73083.457,59464.295,NA,NA
05011334,1,D,87,T,80,D,1,D,1,D,0,D,0,D,0,D,2,D,3,D,1,01,D,2,D,8,D,12,D,12,D,2,D,1,D,0,D,43807,D,0,D,18639.641,0,D,0,D,0,D,40570,D,0,D,0,D,0,D,NA,A,NA,A,0.4094519,D,1,D,1,D,NA,A,NA,A,0,D,0,D,NA,A,NA,A,1,D,0,D,0,D,0,D,NA,A,NA,A,NA,A,0,D,2,D,2,01,D,01,2023,1,D,1,D,4,1500,D,5,D,1,D,2,D,1,2,D,2,D,NA,A,37159.353,34937.716,30295.629,NA,43854.151,34763.972,36717.55,33194.334,30611.814,NA,NA,NA,36729.665,NA,40780.562,34048.558,32369.724,NA,NA,NA,NA,NA,38105.043,NA,NA,NA,38588.594,33605.47
05011364,NA,A,75,D,70,D,1,D,1,D,0,D,0,D,0,D,2,D,3,D,1,01,D,1,D,8,D,13,D,15,D,2,D,1,D,0,D,31879,D,0,D,12717.403,0,D,0,D,0,D,28379,D,0,D,0,D,0,D,NA,A,NA,A,0.3094082,D,1,D,1,D,NA,A,NA,A,0,D,0,D,NA,A,NA,A,1,D,0,D,0,D,0,D,NA,A,NA,A,NA,A,0,D,2,D,2,01,D,01,2023,1,D,1,D,3,2200,D,6,D,1,D,2,D,1,2,D,2,D,NA,A,26755.924,28014.995,NA,NA,NA,NA,NA,25383.284,NA,NA,NA,21257.503,24640.575,NA,24707.827,NA,23476.007,24601.25,NA,NA,23338.646,NA,NA,24147.222,NA,26842.878,NA,NA
05011394,1,D,43,D,NA,A,1,D,0,D,0,D,0,D,0,D,1,D,1,D,1,01,D,4,D,1,D,13,D,NA,A,1,D,8,D,0,D,34000,D,0,D,34388.628,2601,D,0,D,0,D,0,D,34000,D,0,D,0,D,40,D,NA,A,0.3278586,D,NA,A,NA,A,1,D,NA,A,52,D,NA,A,NA,A,NA,A,4,D,1,D,0,D,0,D,10,D,NA,A,NA,A,0,D,0,D,2,01,D,01,2023,NA,A,1,D,1,NA,A,3,D,1,D,NA,A,1,2,D,1,D,NA,A,69246.515,NA,64014.632,NA,69070.579,66004.512,NA,NA,76112.235,NA,NA,68189.595,NA,64439.071,NA,NA,81857.657,79122.915,68380.828,NA,70292.826,69174.511,73179.521,74879.771,67673.83,NA,NA,NA
05011454,NA,A,75,D,NA,A,0,D,1,D,0,D,0,D,0,D,2,D,2,D,1,02,D,2,D,8,D,16,D,NA,A,1,D,8,D,0,D,0,D,0,D,19653.912,0,D,0,D,0,D,0,D,0,D,0,D,0,D,NA,A,NA,A,0.0343883,A,1,D,NA,A,NA,A,NA,A,0,D,NA,A,NA,A,NA,A,5,D,0,D,0,D,1,D,NA,A,NA,A,NA,A,0,D,1,D,1,01,D,01,2023,NA,A,1,D,4,2500,D,8,D,2,D,NA,A,1,2,D,1,D,NA,A,NA,41041.796,36762.142,NA,NA,NA,41458.048,NA,NA,NA,NA,NA,35908.06,40032.247,38699.559,NA,39812.769,NA,NA,NA,37924.303,40331.693,40909.97,41738.083,37515.153,NA,39180.559,38674.549
05011474,1,D,47,D,51,D,1,D,1,D,0,D,0,D,0,D,3,D,5,D,1,01,D,1,D,2,D,15,D,15,D,2,D,1,D,0,D,300000,D,0,D,26138.801,22950,D,0,D,0,D,0,D,300000,D,0,D,1,D,40,D,40,D,0.9603794,D,NA,A,NA,A,1,D,1,D,52,D,52,D,NA,A,NA,A,1,D,2,D,0,D,0,D,03,D,03,D,NA,A,0,D,0,D,1,01,D,01,2023,1,D,1,D,3,4000,D,8,D,2,D,1,D,1,2,D,2,D,NA,A,48625.471,50668.475,55587.304,NA,NA,NA,NA,NA,61702.311,NA,NA,NA,48516.782,54545.502,NA,48004.825,NA,63323.923,49642.787,NA,NA,60263.243,NA,NA,50340.442,NA,50635.292,NA
05011484,1,D,72,D,NA,A,1,D,0,D,0,D,0,D,0,D,1,D,2,D,1,09,D,2,D,8,D,13,D,NA,A,1,D,8,D,0,D,43259,D,0,D,26058.718,0,D,0,D,0,D,28859,D,0,D,0,D,1,D,NA,A,NA,A,0.4051105,D,1,D,NA,A,NA,A,NA,A,0,D,NA,A,NA,A,NA,A,3,D,0,D,0,D,0,D,NA,A,NA,A,NA,A,0,D,1,D,5,01,D,01,2023,NA,A,1,D,NA,1000,D,4,D,1,D,NA,A,1,2,D,3,D,NA,A,50813.433,53415.158,NA,NA,51784.997,NA,53901.514,NA,NA,53839.733,49627.927,43063.341,NA,51149.669,52474.636,50793.374,53391.735,54196.82,NA,NA,NA,53123.556,NA,54776.27,49974.381,52323.261,NA,NA
